scenario,condition_name,run_id,run_label,run_path,trial_index,window_label,eventual_success,first_attempt_success,attempts,corrected_attempts,duration_seconds,runtime_ms,avg_cpu_percent,max_cpu_percent,avg_rss_mb,max_rss_mb,avg_heap_used_mb,max_heap_used_mb,avg_gpu_util_percent,max_gpu_util_percent,avg_vram_used_mb,max_vram_used_mb,sample_count
lever,baseline_raw,lever-2026-04-01T21-32-24-551Z,lever_baseline_raw_080,runs/lever/raw/lever-2026-04-01T21-32-24-551Z,80,76-100,true,false,2,3,14.679,14677,1.409,7.222,214.03,256.852,68.827,75.451,83.5,95,5693,5822,15
lever,baseline_raw,lever-2026-04-01T21-32-54-469Z,lever_baseline_raw_081,runs/lever/raw/lever-2026-04-01T21-32-54-469Z,81,76-100,true,true,0,1,9.668,9603,1.195,6.714,193.252,250.621,65.943,71.524,80.625,93,5755.5,5769,8
lever,baseline_raw,lever-2026-04-01T21-34-19-247Z,lever_baseline_raw_082,runs/lever/raw/lever-2026-04-01T21-34-19-247Z,82,76-100,true,false,4,5,25.838,25836,0.772,3.378,213.912,251.32,68.877,75.806,79.591,94,5732,5759,23
lever,baseline_raw,lever-2026-04-01T21-34-54-031Z,lever_baseline_raw_083,runs/lever/raw/lever-2026-04-01T21-34-54-031Z,83,76-100,true,false,5,6,29.467,29466,0.893,5.375,215.865,252.664,69.711,76.987,85.963,94,5772.259,5795,28
lever,baseline_raw,lever-2026-04-01T21-35-35-966Z,lever_baseline_raw_084,runs/lever/raw/lever-2026-04-01T21-35-35-966Z,84,76-100,true,true,0,1,5.022,5010,1.362,4.725,206.669,250.699,66.268,70.461,82.667,93,5500.333,5783,6
lever,baseline_raw,lever-2026-04-01T21-35-53-837Z,lever_baseline_raw_085,runs/lever/raw/lever-2026-04-01T21-35-53-837Z,85,76-100,true,false,2,3,16.353,16168,1.154,3.847,221.698,258.84,69.478,75.973,83.571,93,5726.429,5771,15
lever,baseline_raw,lever-2026-04-01T21-37-27-414Z,lever_baseline_raw_086,runs/lever/raw/lever-2026-04-01T21-37-27-414Z,86,76-100,true,false,1,2,11.291,11287,1.337,5.413,209.223,248.699,71.419,76.27,90,94,5664.2,5745,11
lever,baseline_raw,lever-2026-04-01T21-37-54-373Z,lever_baseline_raw_087,runs/lever/raw/lever-2026-04-01T21-37-54-373Z,87,76-100,true,false,1,2,11.33,11327,1.312,6.073,211.987,249.145,67.685,74.353,60.909,94,5619.818,5792,11
lever,baseline_raw,lever-2026-04-01T21-39-21-400Z,lever_baseline_raw_088,runs/lever/raw/lever-2026-04-01T21-39-21-400Z,88,76-100,true,false,1,2,10.004,10001,1.153,6.15,207.936,251.762,68.045,74.873,71.9,94,5619.1,5776,10
lever,baseline_raw,lever-2026-04-01T21-40-48-575Z,lever_baseline_raw_089,runs/lever/raw/lever-2026-04-01T21-40-48-575Z,89,76-100,true,false,5,6,29.352,29342,1.037,5.163,209.449,255.969,69.146,77.399,79.296,95,5677.185,5770,28
lever,baseline_raw,lever-2026-04-01T21-41-34-107Z,lever_baseline_raw_090,runs/lever/raw/lever-2026-04-01T21-41-34-107Z,90,76-100,true,false,3,4,19.037,19023,1.112,7.946,213.763,246.848,69.397,74.811,78.105,94,5649.368,5744,19
lever,baseline_raw,lever-2026-04-01T21-43-03-968Z,lever_baseline_raw_091,runs/lever/raw/lever-2026-04-01T21-43-03-968Z,91,76-100,true,false,4,5,27.203,27032,1.105,3.883,219.478,258.871,70.932,77.935,85.5,95,5716.318,5744,25
lever,baseline_raw,lever-2026-04-01T21-43-41-969Z,lever_baseline_raw_092,runs/lever/raw/lever-2026-04-01T21-43-41-969Z,92,76-100,true,false,3,4,20.067,20065,1.083,6.088,219.336,245.594,70.094,78.637,76.105,94,5715.684,5741,20
lever,baseline_raw,lever-2026-04-01T21-45-21-768Z,lever_baseline_raw_093,runs/lever/raw/lever-2026-04-01T21-45-21-768Z,93,76-100,true,false,4,5,28.253,28252,0.842,3.683,209.937,253.859,70.414,79.748,58.955,94,5622.909,5730,26
lever,baseline_raw,lever-2026-04-01T21-46-04-638Z,lever_baseline_raw_094,runs/lever/raw/lever-2026-04-01T21-46-04-638Z,94,76-100,true,false,4,5,22.91,22909,1.23,5.97,214.446,249.797,70.834,78.045,65.136,98,5613.636,5721,23
lever,baseline_raw,lever-2026-04-01T21-46-41-816Z,lever_baseline_raw_095,runs/lever/raw/lever-2026-04-01T21-46-41-816Z,95,76-100,true,false,1,2,12.32,12315,1.156,3.777,204.871,251.887,68.272,74.925,80.818,93,5629,5629,11
lever,baseline_raw,lever-2026-04-01T21-47-08-733Z,lever_baseline_raw_096,runs/lever/raw/lever-2026-04-01T21-47-08-733Z,96,76-100,true,false,2,3,14.383,14380,1.187,4.764,216.6,258.949,67.317,74.045,83.692,94,5685.923,5753,14
lever,baseline_raw,lever-2026-04-01T21-47-37-963Z,lever_baseline_raw_097,runs/lever/raw/lever-2026-04-01T21-47-37-963Z,97,76-100,true,false,5,6,31.115,31101,0.856,4.079,215.684,256.656,69.805,76.607,73.346,94,5619.769,5730,29
lever,baseline_raw,lever-2026-04-01T21-48-25-818Z,lever_baseline_raw_098,runs/lever/raw/lever-2026-04-01T21-48-25-818Z,98,76-100,true,false,3,4,18.044,18036,0.934,5.905,215.208,249.719,67.574,72.973,78.294,95,5594.471,5712,18
lever,baseline_raw,lever-2026-04-01T21-49-05-268Z,lever_baseline_raw_099,runs/lever/raw/lever-2026-04-01T21-49-05-268Z,99,76-100,true,false,5,6,28.527,28523,1.11,5.053,219.998,259.004,70.818,78.802,79.8,95,5607.56,5710,27
